sep = ;
CSVOptions;FileName;Date;TestCase;Test Time in ms;Baseline;Process;ProcessName;Start Time;CommandLine;NotReleasedCount;NotReleasedSizeInBytes;CommitCount;CommitSizeInBytes;FreedCount;FreedSizeInBytes;MaxCommitSizeInBytes
C:\Builds\ETWAnalyzer\bin\Debug\net10.0-windows\win-x64\testhost.dll --port 49287 --endpoint 127.0.0.1:049287 --role client --parentprocessid 32304 --telemetryoptedin false;CallupAdhocWarmReadingCT_3117msDEFOR09T121SRV.20200717-124447;07/12/2021 10:58:16;CallupAdhocWarmReadingCT;3117;;conhost.exe(24036);conhost.exe;01/01/0001 00:00:00 +00:00; 0x4;0;0;0;0;20;4350185472;0
;CallupAdhocWarmReadingCT_3117msDEFOR09T121SRV.20200717-124447;07/12/2021 10:58:16;CallupAdhocWarmReadingCT;3117;;HuaweiHiSuiteService64.exe(4848);HuaweiHiSuiteService64.exe;01/01/0001 00:00:00 +00:00; -/service;0;0;12;3571712;12;3571712;532480
;CallupAdhocWarmReadingCT_3117msDEFOR09T121SRV.20200717-124447;07/12/2021 10:58:16;CallupAdhocWarmReadingCT;3117;;svchost.exe(14096);svchost.exe;01/01/0001 00:00:00 +00:00; -k netsvcs -p -s lfsvc;0;0;0;0;1;524288;0
;CallupAdhocWarmReadingCT_3117msDEFOR09T121SRV.20200717-124447;07/12/2021 10:58:16;CallupAdhocWarmReadingCT;3117;;explorer.exe(10768);explorer.exe;01/01/0001 00:00:00 +00:00;;0;0;6;2498560;9;4071424;741376
;CallupAdhocWarmReadingCT_3117msDEFOR09T121SRV.20200717-124447;07/12/2021 10:58:16;CallupAdhocWarmReadingCT;3117;;RuntimeBroker.exe(14328);RuntimeBroker.exe;01/01/0001 00:00:00 +00:00; -Embedding;0;0;0;0;2;258048;0
;CallupAdhocWarmReadingCT_3117msDEFOR09T121SRV.20200717-124447;07/12/2021 10:58:16;CallupAdhocWarmReadingCT;3117;;GoogleDriveFS.exe(13760);GoogleDriveFS.exe;01/01/0001 00:00:00 +00:00; --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1640,945713799907814579,17266558313424895133,131072 --enable-features=CastMediaRouteProvider --disable-features=CalculateNativeWinOcclusion --lang=en-US --service-sandbox-type=network --no-sandbox --log-file=_C:\Users\Alois\AppData\Local\Google\DriveFS\Logs\chrome_debug.log_ --log-severity=info --lang=en-US --log-file=_C:\Users\Alois\AppData\Local\Google\;0;0;0;0;1;1048576;0
;CallupAdhocWarmReadingCT_3117msDEFOR09T121SRV.20200717-124447;07/12/2021 10:58:16;CallupAdhocWarmReadingCT;3117;;svchost.exe(3980);svchost.exe;01/01/0001 00:00:00 +00:00; -k NetSvcs -p -s iphlpsvc;0;0;0;0;1;1048576;0
;CallupAdhocWarmReadingCT_3117msDEFOR09T121SRV.20200717-124447;07/12/2021 10:58:16;CallupAdhocWarmReadingCT;3117;;svchost.exe(1584);svchost.exe;01/01/0001 00:00:00 +00:00; -k LocalSystemNetworkRestricted -p -s NcbService;0;0;0;0;1;1048576;0
;CallupAdhocWarmReadingCT_3117msDEFOR09T121SRV.20200717-124447;07/12/2021 10:58:16;CallupAdhocWarmReadingCT;3117;;svchost.exe(19236);svchost.exe;01/01/0001 00:00:00 +00:00; -k LocalSystemNetworkRestricted -p -s WdiSystemHost;0;0;0;0;1;524288;0
;CallupAdhocWarmReadingCT_3117msDEFOR09T121SRV.20200717-124447;07/12/2021 10:58:16;CallupAdhocWarmReadingCT;3117;;smartscreen.exe(11944);smartscreen.exe;01/01/0001 00:00:00 +00:00; -Embedding;0;0;0;0;4;2097152;0
